Symbol,Name,Sector,Current Price,Market Cap,PE Ratio,Dividend Yield,Error
AEP,"American Electric Power Company, Inc.",Utilities,98.1,52244623360,19.778225,0.0379,
AERT,"Aeries Technology, Inc",Industrials,1.11,49395444,111.00001,N/A,
AEYE,"AudioEye, Inc.",Technology,26.48,322476096,N/A,N/A,
AFBI,"Affinity Bancshares, Inc.",Financial Services,21.45,137546624,25.235294,N/A,
AFCG,Advanced Flower Capital Inc.,Real Estate,9.62,211184976,37.0,0.1372,
AFD,N/A,N/A,N/A,N/A,N/A,N/A,
AFMD,Affimed N.V.,Healthcare,3.0,49176900,N/A,N/A,
AFRI,Forafric Global PLC,Consumer Defensive,10.16,273092672,N/A,N/A,
AFRM,"Affirm Holdings, Inc.",Technology,69.35,21779783680,N/A,N/A,
AFU,N/A,N/A,N/A,N/A,N/A,N/A,
AFYA,Afya Limited,Consumer Defensive,16.86,1524951680,15.327273,N/A,
AGAE,Allied Gaming & Entertainment Inc.,Communication Services,1.03,45429180,N/A,N/A,
AGEN,Agenus Inc.,Healthcare,3.55,83279096,N/A,N/A,
AGFY,Agrify Corporation,Industrials,45.81,70077848,N/A,N/A,
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,57.51,3279806720,4.9322467,N/A,
AGMH,AGM Group Holdings Inc.,Technology,1.81,43901188,N/A,N/A,
AGNC,AGNC Investment Corp.,Real Estate,9.75,8634989568,6.543624,0.14770001,
AGRI,AgriFORCE Growing Systems Ltd.,Consumer Defensive,0.039,6046170,0.017727273,N/A,
AGYS,"Agilysys, Inc.",Technology,137.8,3851578880,39.259262,N/A,
AH,N/A,N/A,N/A,N/A,N/A,N/A,
AHCO,AdaptHealth Corp.,Healthcare,10.12,1361696640,N/A,N/A,
AHG,Akso Health Group,Healthcare,0.8644,344740864,N/A,N/A,
AIEV,"Thunder Power Holdings, Inc.",Consumer Cyclical,0.2706,13726103,N/A,N/A,
AIFF,"Firefly Neuroscience, Inc.",Technology,3.3,28061088,N/A,N/A,
AIHS,Senmiao Technology Limited,Financial Services,0.937,9855366,N/A,N/A,
AILE,"iLearningEngines, Inc.",Technology,1.53,215994672,25.5,N/A,
AIMD,"Ainos, Inc.",Healthcare,0.4513,6245450,N/A,N/A,
AIOT,"PowerFleet, Inc.",Technology,7.36,972543040,N/A,N/A,
AIP,"Arteris, Inc.",Technology,8.5,341507904,N/A,N/A,
AIRE,reAlpha Tech Corp.,Real Estate,0.97,44488568,N/A,N/A,
AIRG,"Airgain, Inc.",Technology,8.94,101420720,N/A,N/A,
AIRJ,AirJoule Technologies Corporation,Industrials,8.0,446745600,N/A,N/A,
AIRS,"AirSculpt Technologies, Inc.",Healthcare,7.24,419067840,N/A,N/A,
AIRT,"Air T, Inc.",Industrials,20.21,55780608,N/A,N/A,
AISP,"Airship AI Holdings, Inc.",Technology,2.73,74486688,4.706897,N/A,
AIXI,Xiao-I Corporation,Technology,6.35,61175644,N/A,N/A,
AKAM,"Akamai Technologies, Inc.",Technology,94.64,14217484288,27.999998,N/A,
AKAN,Akanda Corp.,Healthcare,1.5,2140215,N/A,N/A,
AKBA,"Akebia Therapeutics, Inc.",Healthcare,1.93,421089312,N/A,N/A,
AKRO,"Akero Therapeutics, Inc.",Healthcare,31.77,2217520640,N/A,N/A,
AKTS,"Akoustis Technologies, Inc.",Technology,0.0909,14052322,N/A,N/A,
AKTX,"Akari Therapeutics, Plc",Healthcare,1.03,25501358,N/A,N/A,
AKYA,"Akoya Biosciences, Inc.",Healthcare,2.12,105074400,N/A,N/A,
ALAB,"Astera Labs, Inc.",Technology,107.31,17020547072,N/A,N/A,
ALAR,Alarum Technologies Ltd.,Technology,13.63,93625832,10.484616,N/A,
ALBT,Avalon GloboCare Corp.,Real Estate,2.7,2954394,N/A,N/A,
ALCE,Alternus Clean Energy Inc,Utilities,1.26,5505293,N/A,N/A,
ALCO,"Alico, Inc.",Consumer Defensive,26.47,201932736,7.762463,0.0076,
ALCY,Alchemy Investments Acquisition Corp 1,Financial Services,11.1,50310308,29.210527,N/A,
ALD,WisdomTree Asia Local Debt Fund,N/A,N/A,N/A,N/A,N/A,
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,4.97,295961504,N/A,N/A,
ALEC,"Alector, Inc.",Healthcare,3.96,387813088,N/A,N/A,
ALGN,"Align Technology, Inc.",Healthcare,240.52,17955565568,40.97445,N/A,
ALGS,"Aligos Therapeutics, Inc.",Healthcare,20.46,73408224,N/A,N/A,
ALGT,Allegiant Travel Company,Industrials,84.01,1541071104,N/A,0.0381,
ALHC,"Alignment Healthcare, Inc.",Healthcare,12.39,2375113472,N/A,N/A,
ALKS,Alkermes plc,Healthcare,29.36,4750536192,12.820961,N/A,
ALKT,"Alkami Technology, Inc.",Technology,42.22,4242983424,N/A,N/A,
ALLK,Allakos Inc.,Healthcare,0.8688,77621720,N/A,N/A,
ALLO,"Allogene Therapeutics, Inc.",Healthcare,2.28,478052160,N/A,N/A,
ALLR,"Allarity Therapeutics, Inc.",Healthcare,1.28,5674995,0.00023488738,N/A,
ALLT,Allot Ltd.,Technology,4.57,179552112,N/A,N/A,
ALMS,Alumis Inc.,Healthcare,9.42,512516768,N/A,N/A,
ALNT,Allient Inc.,Technology,25.29,426020192,29.068966,0.0047,
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,250.98,32371650560,N/A,N/A,
ALOT,"AstroNova, Inc.",Technology,14.86,111755664,17.690475,N/A,
