Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
AA,Alcoa Corporation,Basic Materials,Aluminum,United States,USD,NYQ,https://www.alcoa.com,41.21,10646809600,12278802432,N/A,13.205031,N/A,2.0279515,0.9675399,20.321,57.238,0.116,N/A,0.09724,0.12077,0.086780004,-0.02654,0.4,0.0099,0.0584,N/A,1730160000,552124992,405000000,1312999936,5.082,2944999936,N/A,56.095,1.407,0.671,2.419,46.55,23.8,5148180,4500232,N/A,0.54805493,0.00756,0.70732003,1.9,55.0,38.5,46.96923,1.78571,13,0.01862,-0.07142,11.476,-1.58,3.19,11004000256
AAAU,Goldman Sachs Physical Gold ETF,N/A,N/A,N/A,USD,BTS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.6,19.47,2020829,2447301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAA,Alternative Access First Priority CLO Bond ETF,N/A,N/A,N/A,USD,PCX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.28,24.79,6550,15600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,USD,NYQ,https://www.agilent.com,130.22,37415854080,38752808960,27.944206,23.01402,N/A,6.3429127,5.758943,20.53,22.269,-0.056,1.569,0.24073,0.54394,0.24968,0.21747999,0.94,0.0069999998,0.19399999,0.66,1727740800,879500032,1786000000,1779000064,6.192,3116000000,N/A,52.787,1.781,1.258,1.072,155.35,112.06,1572662,1970696,N/A,0.15086174,0.00274,0.9214,2.59,165.0,135.0,150.11472,2.35,17,0.07579,0.24658,24.778,4.66,5.65,6496999936
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,USD,NMS,https://www.abcellera.com,2.76,864981248,243470928,N/A,-4.0888886,N/A,0.75554335,26.241772,3.653,0.112,-0.014,N/A,N/A,N/A,-14.39419,N/A,N/A,N/A,N/A,N/A,N/A,-105576000,-120167000,643139008,2.177,71399000,N/A,6.623,9.336,8.878,0.351,6.055,2.335,2158457,2747590,N/A,-0.34675616,0.27987,0.36547002,9.57,28.0,5.0,12.28571,1.44444,7,-0.13256,-0.15551,-1.096,-0.57,-0.66,32962000
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,United States,USD,NCM,https://www.abeonatherapeutics.com,5.95,257720672,158177664,N/A,-4.375,N/A,3.3845277,Infinity,1.758,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-20499376,-42203000,122708000,2.833,23165000,N/A,31.628,7.475,7.383,1.505,9.01,3.05,252712,411824,N/A,0.42004776,0.05104,0.79053,10.79,21.0,7.5,15.91667,1.2,6,-0.37814,-1.2738,-2.889,-1.73,-1.48,N/A
ABEQ,Absolute Select Value ETF,N/A,N/A,N/A,USD,PCX,N/A,N/A,N/A,N/A,23.236252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.29,27.43,5517,3053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,N/A,N/A,N/A,USD,NGM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.13,24.37,2015,1220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,USD,NYQ,https://www.ambev.com.br,2.21,34813689856,17944190976,14.733333,12.250555,N/A,0.3541667,0.422463,6.24,5.236,0.088,-0.114,0.28603,0.50983,0.23856,0.16922002,0.15,0.068,0.8315,4.06,1703203200,12533468160,26133768192,20939038720,1.331,3380272896,N/A,3.418,1.196,0.827,0.552,3.0,2.01,26594290,23952370,N/A,-0.20216608,0.00023,0.31755,2.54,5.0,2.0,3.0685,2.27273,10,0.086540006,0.15071,0.761,0.15,0.19,82406481920
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,USD,NYQ,https://www.asburyauto.com,261.62,5124481536,10197163008,14.681257,9.583273,N/A,1.5240504,0.31065372,171.661,815.614,0.156,-0.222,0.06365,0.17409,0.054920003,0.02164,N/A,N/A,N/A,N/A,1217376000,-426500000,500200000,88700000,4.528,5099299840,N/A,151.657,1.197,0.213,1.165,277.13,195.09,216609,131130,N/A,0.24777031,0.0053100004,1.1474099,11.76,305.0,220.0,258.125,2.66667,8,0.06628,0.108,9.712,17.82,27.69,16495800320
