Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
CPOP,"Pop Culture Group Co., Ltd",Communication Services,Entertainment,China,USD,NCM,https://cpop.cn,1.16,17329240,4514956,N/A,N/A,N/A,0.114988096,0.5537217,10.088,12.921,1.133,N/A,-0.60535,0.01563,-0.099580005,-0.70237,N/A,N/A,N/A,N/A,N/A,-5260030,-761373,3109669,1.275,5416339,N/A,22.653,2.116,1.413,1.924,9.67,0.909,68581,35301,N/A,-0.26084298,0.03736,0.00075999997,0.64,N/A,N/A,N/A,N/A,N/A,-0.25748,-0.64377,-0.238,-4.32,N/A,31295936
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,United States,USD,NMS,https://www.copart.com,61.93,59661811712,51532169216,43.307693,35.134796,N/A,7.9265327,14.081733,7.813,4.41,0.072,-0.083,0.41407,0.4577,0.33633998,0.32171002,N/A,N/A,N/A,N/A,N/A,736320384,1472563968,3422158080,3.553,118733000,N/A,1.573,7.029,5.742,1.271,62.75,46.21,4406543,5370782,N/A,0.119858265,0.08693,0.84995,3.03,66.0,51.0,59.26375,2.27273,8,0.12967,0.20129,29.374,1.43,1.74,4236823040
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.catalystpharma.com,21.521,2566874112,2080006016,18.238136,10.278294,N/A,3.8832552,5.5743203,5.542,3.999,0.253,N/A,0.45915002,0.83966005,0.39558,0.3101,N/A,N/A,N/A,N/A,N/A,150672128,224579008,442331008,3.709,3282000,N/A,0.497,5.114,4.75,0.755,24.27,13.0,945220,269394,N/A,0.5021337,0.05983,0.81716,8.2,38.0,28.0,32.25,1.25,8,0.18348,0.28291,9.838,1.18,1.51,460481984
CPSH,CPS Technologies Corporation,Technology,Electronic Components,United States,USD,NCM,https://cpstechnologysolutions.com,1.43,20772180,15742049,N/A,N/A,N/A,1.3439848,0.9468903,1.064,1.511,-0.324,N/A,-0.11043999,0.05933,-0.35,-0.0912,N/A,N/A,N/A,N/A,N/A,-2263359,-1908829,5709956,0.393,244103,N/A,1.58,3.987,2.644,1.25,2.59,1.27,240256,13737,N/A,-0.37339056,0.22219999,0.10418,0.45,N/A,N/A,N/A,N/A,N/A,-0.08741,-0.12274,-6.497,-0.14,N/A,21937262
CPSS,"Consumer Portfolio Services, Inc.",Financial Services,Credit Services,United States,USD,NGM,https://www.consumerportfolio.com,10.53,225396752,3348027392,12.103448,3.9586463,N/A,0.7905999,1.2233468,13.319,8.682,-0.084,-0.512,N/A,1.0,0.1497,0.11531,N/A,N/A,N/A,N/A,N/A,N/A,221820000,8071000,0.377,3127919104,N/A,1097.165,8.152,7.506,2.014,12.04,7.03,40400,22402,N/A,0.10123968,0.39824,0.49832,52.23,18.0,18.0,18.0,N/A,1,0.0067000003,0.07712,N/A,0.87,2.66,184246000
CPTN,"Cepton, Inc.",Technology,Scientific & Technical Instruments,United States,USD,NCM,https://www.cepton.com,3.13,50242760,110686704,N/A,-3.639535,N/A,N/A,2.8112557,-3.244,1.121,-0.857,N/A,-1.73769,0.52546,-19.99634,-1.43319,N/A,N/A,N/A,N/A,N/A,-5988375,-13697000,47651000,2.969,9204000,N/A,19.66,5.524,5.09,0.082,5.2,2.38,20607,1371,N/A,0.0793103,0.61180997,0.054229997,0.87,3.17,3.17,3.17,N/A,1,-0.27113,-0.44907,-3.564,-1.63,-1.23,17872000
CRAI,"CRA International, Inc.",Industrials,Consulting Services,United States,USD,NMS,https://www.crai.com,194.445,1318280704,1427498496,31.514587,25.29639,N/A,6.4287844,1.9600005,30.246,97.924,0.137,0.38,0.114209995,0.29673,0.10963,0.06412,1.96,0.010299999,0.2718,1.42,1732579200,37086000,30410000,24481000,3.611,168038000,N/A,82.165,1.064,0.959,1.129,208.38,92.07,35237,12055,N/A,0.95096326,0.04225,0.89929,1.22,212.0,210.0,211.0,2.5,2,0.073020004,0.20910999,18.584,6.17,7.69,672592000
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.corbuspharma.com,17.58,214115616,48010732,N/A,-3.212426,N/A,1.4226754,N/A,12.357,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-25396628,-36860472,159362000,13.084,3610000,N/A,2.399,13.84,13.709,2.565,61.9,4.0,661562,103520,N/A,2.8548386,0.0075,1.06691,5.39,75.0,40.0,59.5,1.25,8,-0.28822002,-0.51324004,-1.052,-4.71,-5.24,N/A
CRBU,"Caribou Biosciences, Inc.",Healthcare,Biotechnology,United States,USD,NMS,https://cariboubio.com,2.025,183369232,-22242680,N/A,-0.96952116,N/A,0.65217394,15.97989,3.105,0.128,-0.914,N/A,N/A,N/A,-16.66897,N/A,N/A,N/A,N/A,N/A,N/A,-78726872,-124109000,228178000,2.52,26641000,N/A,9.474,7.383,7.178,2.263,8.33,1.5,1187170,621745,N/A,-0.65017664,0.10009,0.62569,11.03,30.0,3.0,15.5,1.66667,8,-0.25142,-0.43598998,0.141,-1.66,-1.99,11475000
CRCT,"Cricut, Inc.",Technology,Computer Hardware,United States,USD,NMS,https://cricut.com,5.115,1096896384,874354432,17.63793,17.344862,N/A,2.305092,1.4934428,2.219,3.411,-0.04,-0.368,0.16322,0.48448002,0.06311,0.084680006,0.2,0.038599998,0.3448,N/A,1736208000,229115120,253956000,246942000,1.152,10459000,N/A,2.198,3.157,1.986,0.05,8.4,4.43,351251,143494,N/A,-0.27144867,0.13013,0.43807,14.06,6.5,3.9,5.0375,3.75,4,0.081,0.12412,7.294,0.29,0.29,734475008
CRD,N/A,N/A,N/A,N/A,N/A,NMS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRDF,"Cardiff Oncology, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.cardiffoncology.com,2.515,128601264,71853368,N/A,-2.343175,N/A,2.480276,186.92044,1.014,0.015,0.17,N/A,N/A,N/A,-76.369705,N/A,N/A,N/A,N/A,N/A,N/A,-19853876,-34565000,57667000,1.128,1686000,N/A,3.414,4.737,4.653,1.928,6.42,1.15,702296,302119,N/A,1.0491803,0.06603,0.25977,11.51,13.0,7.0,9.1575,1.4,4,-0.38331002,-0.6757,-1.562,-0.95,-1.01,688000
CRDL,Cardiol Therapeutics Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,USD,NCM,https://www.cardiolrx.com,1.6295,133699176,103327768,N/A,-4.288158,N/A,3.7719908,N/A,0.432,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-11630728,-21577782,24021236,0.344,164273,N/A,1.069,2.394,2.245,0.697,3.12,0.791,474787,286824,N/A,0.83720934,0.03912,0.09506,1.37,14.048,11.204,12.42275,1.8,4,-0.54148996,-1.08435,-3.264,-0.39,-0.31,N/A
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,NMS,https://credosemi.com,46.85,7780098048,7303500800,N/A,58.924145,N/A,14.056405,35.755936,3.333,1.368,0.702,N/A,-0.09789,0.62468,-0.24200001,-0.12047,N/A,N/A,N/A,N/A,N/A,887375,893000,398616000,2.4,16655000,N/A,3.011,7.813,7.129,2.188,48.94,16.82,2625789,1254205,N/A,1.4564755,0.16059999,0.76855004,2.69,46.0,27.0,37.58333,N/A,12,-0.043670002,-0.05821,-342.903,-0.16,0.77,217588992
CREG,Smart Powerr Corp.,Utilities,Utilities - Renewable,China,USD,NCM,https://www.creg-cn.com,0.7149,6266713,-46070320,N/A,N/A,N/A,0.05211401,N/A,13.718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66347216,694261,68102048,7.769,15982413,N/A,14.765,5.684,2.869,0.678,2.0,0.63,79712,74852,N/A,-0.34862387,0.1317,0.01339,0.22,N/A,N/A,N/A,N/A,N/A,-0.00417,-0.01023,51.309,-0.14,N/A,N/A
CRES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CREV,Carbon Revolution Public Limited Company,Consumer Cyclical,Auto Parts,Ireland,USD,NGM,https://www.carbonrev.com,2.874,5418007,121500056,N/A,-0.3899593,N/A,N/A,0.09406915,-14.991,5.006,1.074,N/A,-0.83752996,-0.4022,-0.88413,-1.8449,N/A,N/A,N/A,N/A,N/A,-40035124,-101315000,26931000,10.986,141739008,N/A,N/A,1.123,0.691,-0.64,46.0,2.52,34270,8972,N/A,-0.900365,0.19487,0.05234,1.84,N/A,N/A,N/A,N/A,N/A,-0.24006,-7.1473103,-2.519,-21.27,-7.37,57596000
CREX,"Creative Realities, Inc.",Technology,Software - Application,United States,USD,NCM,https://www.cri.com,3.41,35623248,46240240,22.733334,16.238096,N/A,1.254599,0.6560451,2.718,5.183,0.248,N/A,0.13549,0.4905,0.078660004,0.013789999,N/A,N/A,N/A,N/A,N/A,9209625,1611000,868000,0.083,11903000,N/A,42.069,0.58,0.442,N/A,5.2,1.82,50292,13318,N/A,0.7552084,0.16516,0.34862,0.28,10.0,7.0,8.33333,1.33333,3,0.03304,0.0269,6.285,0.15,0.21,54300000
CRGO,Freightos Limited,Industrials,Integrated Freight & Logistics,Israel,USD,NCM,https://www.freightos.com,2.445,120681776,69541416,N/A,-7.1911764,N/A,1.8369647,5.6451387,1.331,0.445,0.111,N/A,-1.02334,0.61269003,-0.80665,-0.95448995,N/A,N/A,N/A,N/A,N/A,-3733500,-12792000,47396000,0.981,963000,N/A,1.498,3.469,3.229,0.811,3.62,1.27,77854,125093,N/A,-0.22580647,0.45946997,0.042719997,2.11,3.5,3.5,3.5,N/A,2,-0.16754,-0.28721002,-3.179,-0.35,-0.34,21378000
CRGX,"CARGO Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,NMS,https://cargo-tx.com,16.605,764289920,347752160,N/A,-4.041985,N/A,1.9048984,N/A,8.717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-112934000,-133837000,404848000,8.796,28584000,N/A,7.13,18.945,18.839,N/A,33.92,13.56,289579,83395,N/A,0.09160304,0.04804,1.09643,31.64,34.0,28.0,31.5,1.42857,6,-0.40354002,-0.69807,-2.048,-17.59,-4.66,N/A
CRIS,"Curis, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.curis.com,4.02,34037180,37353200,N/A,-1.0545645,N/A,1.2046748,3.3497865,3.337,1.759,0.159,N/A,N/A,-2.97481,-4.91438,N/A,N/A,N/A,N/A,N/A,N/A,-25840624,-42734000,28360000,4.743,41917000,N/A,N/A,1.783,1.596,3.349,17.49,3.51,51470,88721,N/A,-0.514218,0.06776,0.24365999,3.96,26.0,18.0,21.0,1.66667,4,-0.45973,-3.72675,-0.758,-7.77,-4.2,10161000
CRKN,Crown Electrokinetics Corp.,Basic Materials,Specialty Chemicals,United States,USD,NCM,https://www.crownek.com,0.7575,7045992,2735457,0.0006807765,0.6108871,N/A,0.027797146,1.2990398,27.251,10.23,124.622,N/A,N/A,-0.22622,-1.05594,N/A,N/A,N/A,N/A,N/A,N/A,-11884125,-16625000,3990000,0.909,2845000,N/A,32.396,1.597,1.495,1.245,90.0,0.711,2226215,4782941,N/A,-0.9701124,0.00636,0.0044,0.32,N/A,N/A,N/A,N/A,N/A,-0.81092,-3.2695098,-0.155,1112.7,1.24,5424000
