Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
DPCS,DP Cap Acquisition Corp I,Financial Services,Shell Companies,United States,USD,NCM,https://www.datapointcapital.com,12.6,91350000,96084976,1260.0001,N/A,N/A,N/A,N/A,-1.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-365550,-860767,372527,0.051,4600000,N/A,N/A,0.321,0.271,0.029,15.67,10.8,5204,9777,N/A,0.1559633,N/A,0.64138,0.48,N/A,N/A,N/A,N/A,N/A,-0.02686,N/A,N/A,0.01,N/A,N/A
DPCSU,DP Cap Acquisition Corp I,Financial Services,Shell Companies,United States,USD,NCM,https://www.datapointcapital.com,12.01,N/A,87239976,N/A,N/A,N/A,N/A,N/A,-1.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-365550,-860767,372527,0.051,4600000,N/A,N/A,0.321,0.271,0.029,12.01,10.51,25,855,N/A,0.14272118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.02686,N/A,N/A,-0.08,N/A,N/A
DPCSW,DP Cap Acquisition Corp I,Financial Services,Shell Companies,United States,USD,NCM,https://www.datapointcapital.com,0.025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-365550,-860767,372527,0.051,4600000,N/A,N/A,0.321,0.271,0.029,0.025,0.0229,N/A,2079,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.02686,N/A,N/A,N/A,N/A,N/A
DPRO,Draganfly Inc.,Industrials,Aerospace & Defense,Canada,USD,NCM,https://www.draganfly.com,2.31,8836235,2037473,N/A,N/A,N/A,11.15942,1.4445637,0.207,2.826,-0.087,N/A,-2.52003,0.37772,-2.19265,N/A,N/A,N/A,N/A,N/A,N/A,1762587,-13503488,5670313,1.88,620208,N/A,N/A,0.694,0.542,1.651,15.0,1.55,118071,59299,N/A,-0.82631576,0.01277,0.01815,1.46,9.45,7.038,8.244,2.0,2,-0.85619,-6.06914,-0.132,-3.79,N/A,6116888
DRCT,"Direct Digital Holdings, Inc.",Communication Services,Advertising Agencies,United States,USD,NCM,https://www.directdigitalholdings.com,1.19,17454802,38353324,N/A,-1.3076923,N/A,7.6282053,0.1207001,0.156,43.372,-0.383,N/A,-0.048049998,0.22126,-0.09449001,-0.02446,N/A,N/A,N/A,N/A,N/A,-9600704,-10607000,1069000,0.282,37731000,N/A,N/A,1.315,1.26,7.441,35.884,1.15,98728,152585,N/A,-0.8515186,0.16913,0.075100005,0.86,8.0,2.5,5.25,2.0,2,-0.103640005,N/A,-5.519,-1.93,0.41,144612992
DRIO,DarioHealth Corp.,Healthcare,Health Information Services,United States,USD,NCM,https://www.dariohealth.com,0.8299,28296604,41534156,N/A,-2.1279488,N/A,0.44427195,1.2275119,1.868,0.631,1.11,N/A,-2.32305,0.60914004,-1.6206399,-2.05622,N/A,N/A,N/A,N/A,N/A,-26869624,-39171000,15547000,0.456,30486000,N/A,52.103,1.567,1.269,N/A,2.6,0.705,82665,44573,N/A,-0.27102804,0.17711,0.23571,25.02,5.0,2.0,3.5,1.0,3,-0.34743,-0.74913,-0.776,-0.93,-0.8,23052000
DRMA,"Dermata Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.dermatarx.com,1.15,2346885,-3382398,N/A,-0.29715762,N/A,0.047420725,N/A,24.251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4237496,-7749340,4947100,3.759,N/A,N/A,N/A,2.73,2.579,0.792,13.35,1.05,542458,78787,N/A,-0.88157225,0.00837,0.00662,0.52,6.0,6.0,6.0,N/A,1,-0.90677,-1.73007,N/A,-13.36,-3.87,N/A
DRMAW,"Dermata Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.dermatarx.com,0.011,N/A,N/A,N/A,N/A,N/A,0.00045358954,N/A,24.251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4237496,-7749340,4947100,3.759,N/A,N/A,N/A,2.73,2.579,0.792,0.011,0.011,N/A,1000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.90677,-1.73007,N/A,-2.156,N/A,N/A
DRRX,DURECT Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,United States,USD,NCM,https://www.durect.com,0.8626,26776830,35182108,N/A,-1.3069696,N/A,1.7712526,3.183549,0.487,0.284,0.043,N/A,-2.9639802,-1.47212,-1.5679401,-1.87837,N/A,N/A,N/A,N/A,N/A,-24426376,-26240000,15646000,0.504,16064000,N/A,318.92,0.91,0.76,1.133,1.88,0.48,65271,101524,N/A,0.36363637,0.0579,0.23004,17.89,8.5,5.0,6.75,1.66667,2,-0.39695,-2.9987702,-1.411,-0.64,-1.02,8411000
DRS,"Leonardo DRS, Inc.",Industrials,Aerospace & Defense,United States,USD,NMS,https://www.leonardodrs.com,35.7,9438972928,9700974592,48.243244,33.9041,N/A,3.814103,2.9691641,9.36,12.09,0.155,0.171,0.119219996,0.22365999,0.09236,0.062280003,N/A,N/A,N/A,N/A,N/A,267375008,343000000,198000000,0.749,460000000,N/A,18.593,2.114,1.627,N/A,37.99,17.97,586430,415799,N/A,0.85858583,0.71896005,0.26819,2.55,40.0,30.0,35.0,N/A,8,0.0477,0.08397,25.596,0.74,1.05,3179000064
DRTS,Alpha Tau Medical Ltd.,Healthcare,Biotechnology,Israel,USD,NCM,https://www.alphatau.com,2.295,160886384,102002936,N/A,-4.8298507,N/A,1.8935643,N/A,1.212,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-19490500,-20839000,71031000,1.016,12558000,N/A,16.966,11.656,11.002,0.771,3.4,1.75,22887,45433,N/A,-0.24506581,0.25562,0.019450001,3.01,13.0,5.0,8.75,1.5,4,-0.21921,-0.33169997,-2.896,-0.43,-0.49,N/A
DRTSW,Alpha Tau Medical Ltd.,Healthcare,Biotechnology,Israel,USD,NCM,https://www.alphatau.com,0.1631,N/A,N/A,N/A,N/A,N/A,0.13457096,N/A,1.212,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-19490500,-20839000,71031000,1.016,12558000,N/A,16.966,11.656,11.002,0.771,0.1701,0.1631,N/A,12307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.21921,-0.33169997,N/A,N/A,N/A,N/A
DRUG,Bright Minds Biosciences Inc.,Healthcare,Biotechnology,United States,USD,NCM,https://brightmindsbio.com,32.38,232735472,139657328,N/A,N/A,N/A,23.704247,N/A,1.366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1337075,-2584540,6190244,1.387,14016,N/A,0.23,35.077,34.751,1.132,79.02,0.93,3097587,316901,N/A,23.022058,0.27283,0.37647,0.04,N/A,N/A,N/A,N/A,N/A,-0.28858998,-0.51799,N/A,-0.63,N/A,N/A
DRVN,Driven Brands Holdings Inc.,Consumer Cyclical,Auto & Truck Dealerships,United States,USD,NMS,https://www.drivenbrands.com,16.1,2642235392,6451390464,Infinity,12.812759,N/A,2.7441623,1.1344215,5.867,14.584,0.018,N/A,0.20612,0.4225,0.1065,0.0027200002,N/A,N/A,N/A,N/A,N/A,7149000,231642000,204180992,1.244,4077338880,N/A,423.485,1.898,1.002,1.118,16.93,10.59,639544,488812,N/A,0.17064083,0.02493,1.01472,13.31,22.0,14.5,18.40909,2.0,11,0.0325,0.00686,13.438,N/A,1.25,2329147904
DSGN,"Design Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,NMS,https://www.designtx.com,5.57,315378976,58731284,N/A,-4.590672,N/A,1.249159,N/A,4.459,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-30067250,-46043000,254074000,4.487,2522000,N/A,0.999,34.613,34.345,1.833,7.77,2.13,243012,100167,N/A,1.4684684,0.36453998,0.56905,16.31,12.0,4.0,7.0,2.66667,3,-0.13537,-0.17781,-0.975,-0.85,-1.21,N/A
DSGR,"Distribution Solutions Group, Inc.",Industrials,Industrial Distribution,United States,USD,NMS,https://distributionsolutionsgroup.com,37.77,1769067520,2527575296,1888.5001,22.087719,N/A,2.598734,1.0232449,14.534,36.938,0.066,N/A,0.06734,0.34354,0.049089998,0.00131,N/A,N/A,N/A,2.81,1340928000,-11563375,38969000,61344000,1.31,841398016,N/A,123.596,2.812,1.249,0.376,41.47,25.03,46865,30346,N/A,0.3900894,0.0128999995,0.93112,5.42,44.0,42.0,43.0,N/A,2,0.018129999,0.0033399998,21.71,0.02,1.71,1728880000
DSGX,The Descartes Systems Group Inc.,Technology,Software - Application,Canada,USD,NMS,https://www.descartes.com,114.33,9792158720,9510496256,77.25,51.833652,N/A,7.45015,16.113554,15.346,7.13,0.14,0.25,0.4071,0.7591,0.28145,0.21028,N/A,N/A,N/A,N/A,N/A,176804624,205215008,252652992,2.956,7246000,N/A,0.552,1.792,1.599,0.736,117.24,79.21,141682,137345,N/A,0.39985287,0.0002,0.87067,4.71,125.0,85.0,109.97643,2.0,14,0.075050004,0.102819994,38.443,1.48,1.96,607697024
