Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,USD,NGM,https://ir.atai.net.cn/,1.02,32103378,64450476,N/A,-1.030303,N/A,0.48479083,0.12802777,2.104,7.962,0.131,N/A,-0.11724,0.51831,-0.26191,-0.16271,N/A,N/A,N/A,N/A,1535328000,N/A,N/A,39391128,0.625,39645840,N/A,59.868,0.162,0.109,0.782,1.65,0.5,52865,27535,N/A,0.09677422,0.07195,0.16389,2.26,N/A,N/A,N/A,N/A,N/A,-0.06877,-0.48075,-2.192,-0.18,-0.99,250753248
AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://aadibio.com,2.21,54470756,-7202263,N/A,-1.768,N/A,0.7898499,2.1727467,2.798,0.929,0.21,N/A,-2.52872,-1.0986,-1.49404,-2.4605901,N/A,N/A,N/A,N/A,N/A,-35620500,-54141000,62619000,2.541,946000,N/A,1.374,4.889,4.374,0.369,5.7,1.21,225984,112749,N/A,-0.5473684,0.09961,0.49172002,3.24,2.0,1.75,1.875,3.0,2,-0.35269,-0.65953004,0.114,-2.28,-1.01,25070000
AAL,American Airlines Group Inc.,Industrials,Airlines,United States,USD,NMS,https://www.aa.com,14.33,9416687616,39639687168,34.11905,6.9920516,N/A,N/A,0.17564188,-7.387,81.697,0.012,N/A,0.094510004,0.24033001,0.049099997,0.00513,N/A,N/A,N/A,1.27,1580774400,445375008,2233999872,8949999616,13.62,39173001216,N/A,N/A,0.566,0.422,1.399,16.15,9.07,33215620,25234500,N/A,0.1608448,0.01282,0.57102,1.94,20.0,10.0,14.17,2.59091,19,0.02753,N/A,7.823,0.42,2.02,53612998656
AAME,Atlantic American Corporation,Financial Services,Insurance - Life,United States,USD,NGM,https://www.atlam.com,1.6,32639680,53437592,N/A,N/A,N/A,0.30447194,0.17548122,5.255,9.117,-0.031,N/A,-0.00189,0.080570005,0.00037999998,-0.01694,0.02,0.0117999995,0.1429,0.65,1712793600,10483625,2615000,21213000,1.04,40120000,N/A,39.852,1.331,0.947,0.462,3.0,1.43,4457,6108,N/A,-0.119170964,0.80286,0.05483,9.39,N/A,N/A,N/A,N/A,N/A,-0.0014599999,-0.030869998,-151.811,-0.36,N/A,186000992
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,United States,USD,NGM,https://www.ao-inc.com,28.55,1286982528,1318728448,N/A,38.843536,N/A,6.0372167,6.1417365,4.729,5.35,0.042,N/A,-0.23263,0.26092,-0.25398,-0.38606998,N/A,N/A,N/A,N/A,N/A,-38015376,-43360000,34124000,0.757,121316000,N/A,57.201,1.609,0.933,1.961,29.38,6.7,3064398,2054773,N/A,1.0681303,0.05264,0.68114,4.38,27.5,14.0,22.375,1.75,4,-0.10998999,-0.41441002,-27.053,-2.04,0.73,209547008
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,United States,USD,NMS,https://www.aaon.com,131.16,10660632576,10697776128,57.526318,44.547245,N/A,13.372758,8.813682,9.808,14.862,0.168,-0.686,0.25689,0.35652,0.0399,0.15784,0.32,0.0023999999,0.14039999,0.55,1732838400,87713872,243436992,2859000,0.035,40000000,N/A,8.581,3.06,1.717,0.791,144.07,61.09,388433,583433,N/A,1.0670445,0.17464,0.73806,6.17,150.0,102.0,125.8,2.14286,5,0.1598,0.25811002,34.429,2.28,2.93,1209554944
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,NMS,https://www.apple.com,228.28,3450634764288,3504528162816,37.607906,27.474186,N/A,60.59995,8.824363,3.767,25.485,0.061,-0.341,0.34437,0.46206,0.31171,0.23971,1.0,0.0044,0.1612,0.63,1731024000,110846001152,118254002176,65171001344,4.311,119058997248,N/A,209.059,0.867,0.745,1.24,237.49,164.08,48116893,34871882,N/A,0.1918875,0.020580001,0.61676,3.24,300.0,184.0,244.47739,1.89362,42,0.21464,1.5741299,26.025,6.07,8.31,391034994688
ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,United States,USD,NCM,https://americanbatterytechnology.com,0.7999,59609904,60741056,N/A,-5.7135715,N/A,0.8332292,173.53683,0.96,0.007,N/A,N/A,N/A,N/A,-35.172802,N/A,N/A,N/A,N/A,N/A,N/A,-25603900,-16736231,7001786,0.097,6501665,N/A,10.577,1.165,0.508,1.854,6.45,0.75,585131,853811,N/A,-0.8053528,0.05763,0.07406,14.57,9.0,9.0,9.0,N/A,1,-0.30784,-0.85831,-1.695,-1.0,-0.14,343500
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,USD,NMS,https://www.abcellera.com,2.71,800441920,210980640,N/A,-4.014815,N/A,0.741856,24.28378,3.653,0.112,-0.014,N/A,N/A,N/A,-14.39419,N/A,N/A,N/A,N/A,N/A,N/A,-105576000,-120167000,643139008,2.177,71399000,N/A,6.623,9.336,8.878,0.351,6.055,2.335,2184282,1816931,N/A,-0.40180588,0.27987,0.38207,9.57,28.0,5.0,12.28571,1.44444,7,-0.13256,-0.15551,-0.949,-0.62,-0.66,32962000
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,United States,USD,NCM,https://www.abeonatherapeutics.com,5.89,256044192,158177664,N/A,-5.2355556,N/A,10.536672,Infinity,0.559,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-20499376,-42203000,122708000,2.833,23165000,N/A,31.628,7.475,7.383,1.505,9.01,3.05,262544,251391,N/A,0.41204822,0.05104,0.77542996,10.79,21.0,9.5,16.75,1.2,6,-0.37814,-1.2738,-2.889,-2.05,-1.48,N/A
ABL,"Abacus Life, Inc.",Financial Services,Insurance - Life,United States,USD,NCM,https://abacuslife.com,8.43,629542336,789538624,N/A,10.218183,N/A,2.4406486,6.147434,3.454,1.547,0.333,N/A,0.27231002,0.90904,0.23292999,-0.116459996,N/A,N/A,N/A,N/A,N/A,31597312,-131117952,22428670,0.3,182516832,N/A,70.76,1.291,1.204,0.148,13.25,6.53,83988,26346,N/A,0.18398881,0.83114,0.17809999,12.63,16.0,13.0,14.125,1.25,4,0.03358,-0.05789,28.313,-0.22,0.81,102407328
ABLV,Able View Global Inc.,Communication Services,Advertising Agencies,China,USD,NCM,https://www.ableview.com,0.8601,36019612,38756732,3.58375,N/A,N/A,3.1738007,0.24174264,0.271,3.776,-0.203,0.001,0.090900004,0.24837999,0.0779,0.06544,N/A,N/A,N/A,N/A,N/A,16094051,23573330,13328156,0.316,15858496,N/A,138.92,3.101,1.823,2.873,3.94,0.67,15261,17330,N/A,-0.698962,0.40058997,0.39738998,1.08,N/A,N/A,N/A,N/A,N/A,0.15203,1.15065,2.862,0.24,N/A,148999824
ABLVW,Able View Global Inc.,Communication Services,Advertising Agencies,China,USD,NCM,https://www.ableview.com,0.019,N/A,N/A,N/A,N/A,N/A,0.0701107,N/A,0.271,3.776,-0.203,0.001,0.090900004,0.24837999,0.0779,0.06544,N/A,N/A,N/A,N/A,N/A,16094051,23573330,13328156,0.316,15858496,N/A,138.92,3.101,1.823,2.873,0.019,0.019,N/A,1131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15203,1.15065,N/A,N/A,N/A,148999824
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,USD,NMS,https://www.airbnb.com,131.44,82120032256,73594560512,45.63889,29.945004,N/A,9.879736,7.5756483,13.304,17.057,0.099,-0.678,0.15434,0.83072,0.40862998,0.16956,N/A,N/A,N/A,N/A,N/A,3363000064,4115000064,11253000192,18.011,2259000064,N/A,26.614,1.616,1.008,1.156,170.1,110.38,4328674,5136557,N/A,0.024411082,0.00826,0.79861,4.72,195.0,85.0,137.36667,2.84783,36,0.046630003,0.20873,43.99,2.88,4.5,10840000512
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,NMS,https://acumenpharm.com,2.39,143590736,-26764330,N/A,-1.5646379,N/A,0.6611342,N/A,3.615,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-41690752,-67314000,200343008,3.335,29988000,N/A,13.807,10.426,10.06,0.039,5.09,2.08,190766,146528,N/A,-0.05084747,0.11236,0.78492,7.19,15.0,6.0,10.8,1.16667,5,-0.20987,-0.32834998,0.288,-1.38,-1.53,N/A
ABSI,Absci Corporation,Healthcare,Biotechnology,United States,USD,NMS,https://www.absci.com,2.72,312408320,197328672,N/A,-3.7260273,N/A,1.5428247,74.25917,1.763,0.04,1.286,N/A,N/A,N/A,-16.98707,N/A,N/A,N/A,N/A,N/A,N/A,-36257124,-70360000,127068000,1.106,11989000,N/A,5.955,5.626,4.817,2.187,6.72,1.35,990555,1594061,N/A,0.9785714,0.20087999,0.62423,15.79,13.0,6.0,8.28571,1.625,7,-0.27396,-0.4911,-2.2,-0.93,-0.71,4207000
ABTS,Abits Group Inc.,Financial Services,Capital Markets,Hong Kong,USD,NCM,https://www.abitsgroup.com,0.5621,19985296,19593750,N/A,N/A,N/A,1.7731861,3.739842,0.317,0.15,503.624,N/A,0.25571,0.33421,-0.09711,-1.70216,N/A,N/A,N/A,N/A,N/A,-3635987,2297204,396583,0.011,N/A,N/A,N/A,0.833,0.431,2.706,1.6,0.376,114620,52680,N/A,-0.41224492,0.21888,0.00208,2.92,N/A,N/A,N/A,N/A,N/A,-0.0777,-0.57313997,14.339,-0.26,N/A,5343888
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,United States,USD,NMS,https://www.arbutusbio.com,3.49,661327104,540292992,N/A,-7.097102,N/A,6.187943,98.090645,0.564,0.037,-0.713,N/A,N/A,N/A,-13.0478,N/A,N/A,N/A,N/A,N/A,N/A,-39811624,-71827000,127794000,0.674,6761000,N/A,6.325,7.017,6.854,1.916,4.72,1.79,1144914,901611,N/A,0.9130435,0.22221,0.53797,8.08,9.854,5.569,7.1472,1.8,5,-0.32828,-0.67807996,-7.004,-0.43,-0.34,6742000
ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.abvcpharma.com,0.5252,6430811,8672042,N/A,-1.1936364,N/A,0.49547175,47.14809,1.06,0.017,18.175,N/A,N/A,-0.24114001,-8.33724,N/A,N/A,N/A,N/A,N/A,N/A,-3194481,-3325643,199979,0.017,2732942,N/A,34.911,0.334,0.032,0.816,2.45,0.405,143031,60190,N/A,-0.72727275,0.22928,0.03013,0.7,N/A,N/A,N/A,N/A,N/A,-0.44551,-3.20362,-1.019,-0.81,-0.44,136396
