Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,USD,NYQ,https://www.agilent.com,125.69,36114255872,37804630016,26.130978,22.213427,N/A,6.12226,5.5586047,20.53,22.269,-0.056,1.569,0.24073,0.54394,0.24968,0.21747999,0.94,0.0075,0.19399999,0.66,1727740800,879500032,1786000000,1779000064,6.192,3116000000,N/A,52.787,1.781,1.258,1.072,155.35,123.48,1595238,1170437,N/A,0.023630977,0.00274,0.91196996,2.59,165.0,135.0,150.11472,2.35,17,0.07579,0.24658,24.172,4.81,5.65,6496999936
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,NMS,https://www.apple.com,228.28,3450634764288,3500597837824,37.484398,27.474186,N/A,60.59995,8.824363,3.767,25.485,0.061,-0.341,0.34437,0.46206,0.31171,0.23971,1.0,0.0044,0.1612,0.63,1731024000,110846001152,118254002176,65171001344,4.311,119058997248,N/A,209.059,0.867,0.745,1.24,237.49,164.08,48116893,34871882,N/A,0.1918875,0.020580001,0.61676,3.24,300.0,184.0,244.47739,1.89362,42,0.21464,1.5741299,25.996,6.09,8.31,391034994688
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,USD,NYQ,https://www.abbvie.com,166.57,294352519168,357917097984,57.836807,13.714466,N/A,48.804573,5.3004975,3.413,31.397,0.038,-0.123,0.46153,0.70335,0.28928,0.09222999,6.56,0.0395,2.1359,4.16,1736899200,17738999808,16510999552,7285000192,4.122,71323000832,N/A,1174.815,0.645,0.436,0.613,207.32,137.65,5397465,3922430,N/A,0.20083773,0.00096000003,0.73426,3.61,240.0,165.0,204.73517,1.9,29,0.077199996,0.56407,13.965,2.88,12.13,55532998656
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,USD,NMS,https://www.airbnb.com,131.44,82120032256,73594560512,45.63889,29.945004,N/A,9.879736,7.5756483,13.304,17.057,0.099,-0.678,0.15434,0.83072,0.40862998,0.16956,N/A,N/A,N/A,N/A,N/A,3363000064,4115000064,11253000192,18.011,2259000064,N/A,26.614,1.616,1.008,1.156,170.1,110.38,4328674,5136557,N/A,0.024411082,0.00826,0.79861,4.72,195.0,85.0,137.36667,2.84783,36,0.046630003,0.20873,43.99,2.88,4.5,10840000512
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,USD,NYQ,https://www.abbott.com,117.13,203157291008,211045744640,35.60182,22.702913,N/A,5.105038,4.9289684,22.944,23.682,0.049,0.146,0.26263002,0.55907,0.18749,0.13992,2.2,0.0187,0.65650004,1.65,1728950400,6404874752,8728000512,7788000256,4.49,15045999616,N/A,37.589,1.597,0.996,0.722,121.64,99.71,4908901,4542773,N/A,0.14274585,0.0053100004,0.77282995,2.83,149.0,104.0,129.87125,1.77778,24,0.06488,0.14840001,19.496,3.29,5.16,41216999424
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,NMS,https://www.archgroup.com,95.69,37803098112,35470082048,6.4221478,10.638972,N/A,1.6719083,2.241246,57.234,45.387,0.418,0.362,0.30663002,0.3977,0.24947001,0.33859003,N/A,N/A,N/A,N/A,1731888000,6641249792,6765000192,4426999808,11.814,2727000064,N/A,12.243,0.603,0.321,0.613,116.47,72.85,1773493,1437591,N/A,0.12833047,0.02991,0.89875,2.4,141.0,104.0,121.06667,1.86667,15,0.04861,0.30441,6.858,14.9,9.04,16867000320
ACN,Accenture plc,Technology,Information Technology Services,Ireland,USD,NYQ,https://www.accenture.com,353.95,221167796224,221157949440,30.966755,25.170387,N/A,7.823483,3.40801,45.242,103.363,0.026,0.236,0.17052001,0.32609,0.14597,0.111940004,5.92,0.0167,0.45099998,1.35,1728518400,7641968128,9131027456,5009865216,8.018,4120549120,N/A,14.127,1.099,0.984,1.245,387.51,278.69,2368980,1860530,N/A,0.05901599,0.00067000004,0.73098,2.49,450.0,307.0,380.20615,2.0,26,0.11627,0.26674998,19.986,11.43,14.07,64896462848
ADBE,Adobe Inc.,Technology,Software - Infrastructure,United States,USD,NMS,https://www.adobe.com,499.61,219928313856,218491322368,42.37574,24.294968,N/A,15.285604,10.499275,32.685,46.482,0.106,0.233,0.38831002,0.88657,0.36834,0.25588,N/A,N/A,N/A,0.12,1111622400,6618500096,6732000256,7514999808,17.072,6078000128,N/A,41.788,1.111,0.966,1.299,638.25,433.97,2883715,1916527,N/A,-0.19397467,0.00207,0.85572,2.44,704.55,440.0,612.01917,1.84615,35,0.15969,0.35355,26.861,11.79,20.55,20946999296
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,USD,NMS,https://www.analog.com,210.43,104477016064,109662478336,63.38253,28.138746,N/A,2.9689462,10.770342,70.877,19.544,-0.248,-0.546,0.44959998,0.57852,0.2178,0.17068,3.68,0.0175,1.0723001,1.78,1725321600,2862019584,3989006080,2545699072,5.127,8118322176,N/A,23.07,1.687,1.138,1.078,244.14,179.63,2857663,2883205,N/A,0.14769804,0.00246,0.91454005,3.15,295.0,212.1,255.01222,1.96774,27,0.0286,0.04658,25.144,3.32,7.54,9700435968
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,USD,NYQ,https://www.adm.com,52.99,25357518848,36627865600,14.884832,10.49521,N/A,1.1264641,0.28566056,47.041,171.202,-0.117,-0.424,0.04493,0.07441,0.0222,0.0293,2.0,0.0379,0.5478,2.6,1732147200,2144875008,4728999936,764000000,1.598,11875999744,N/A,52.874,1.443,0.375,0.722,77.35,48.92,2766490,2186993,N/A,-0.29086506,0.0058600004,0.805,3.05,66.0,51.0,59.193,3.09091,10,0.03415,0.1075,9.185,3.56,5.07,88768004096
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,United States,USD,NMS,https://www.adp.com,297.54,121234759680,124057133056,31.754538,27.361662,N/A,22.680082,6.2098746,13.119,47.658,0.071,0.125,0.29365999,0.48112,0.26488,0.19715,6.16,0.0207,0.59830004,2.02,1734048000,2609362432,4655499776,6768500224,16.612,9448299520,N/A,176.65,1.014,0.256,0.795,309.37,227.12,1538538,1741743,N/A,0.28873026,0.00121,0.84041,4.24,325.0,280.0,298.674,2.73684,15,0.06544,0.87263,21.639,9.37,10.87,19522899968
ADSK,"Autodesk, Inc.",Technology,Software - Application,United States,USD,NMS,https://www.autodesk.com,305.2,65773346816,65665748992,62.540985,33.26369,N/A,26.522987,11.330464,11.507,27.063,0.119,0.262,0.24048,0.91920996,0.23653999,0.18208,N/A,N/A,N/A,0.48,1111449600,1633500032,1160999936,1878000000,8.735,2603000064,N/A,105.214,0.636,0.526,1.474,315.73,195.32,1368466,1347187,N/A,0.49042737,0.00169,0.93208003,2.16,355.0,245.0,304.46964,1.92857,26,0.0889,0.57445997,47.039,4.88,9.18,5805000192
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,United States,USD,NYQ,https://www.amereninvestors.com,92.12,24589408256,43061780480,21.675295,18.726852,N/A,2.0778167,3.483906,44.335,26.546,0.056,-0.091,0.46245,0.51148,0.31766,0.16053,2.68,0.0291,0.62119997,2.78,1733875200,-2085374976,2479000064,17000000,0.064,18299000832,N/A,152.976,0.633,0.304,0.462,92.77,67.03,1442369,946215,N/A,0.1993506,0.00275,0.81184,2.17,98.0,79.0,89.34133,2.29412,15,0.02856,0.09838,13.193,4.25,4.92,7057999872
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,USD,NMS,https://www.aep.com,96.7,51499032576,95175426048,19.495968,16.512894,N/A,1.9344256,2.6272068,49.989,37.095,0.015,-0.016,0.37028,0.45083,0.25792998,0.13464,3.72,0.0385,0.7097,3.52,1731024000,-1226174976,6413400064,474400000,0.891,44221198336,N/A,165.878,0.565,0.3,0.539,105.18,75.22,2881374,1879732,N/A,0.23309898,0.00037999998,0.80502,2.95,116.0,86.0,101.09,2.81818,18,0.026129998,0.10182,13.113,4.96,5.89,19602200576
