Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,United States,USD,NYQ,https://www.davita.com,157.41,13150913536,25847068672,17.278816,13.821705,N/A,33.634617,1.0382344,4.68,145.293,0.046,-0.046,0.20982,0.32804,0.16275999,0.06534,N/A,N/A,N/A,N/A,N/A,1114835072,1959616000,1091771008,13.314,12198260736,N/A,549.552,1.371,1.265,0.887,168.5,97.31,780525,940394,N/A,0.64356744,0.48563,0.50259995,5.44,186.0,134.0,156.90222,2.88889,9,0.06944,0.44884,9.725,9.11,11.27,12666613760
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,United States,USD,NYQ,https://www.devonenergy.com,38.77,25468012544,34293012480,7.126838,8.160198,N/A,1.7868006,1.7529088,21.698,23.117,-0.102,-0.085,0.52461,0.53534,0.32062,0.23429,1.45,0.0377,0.3704,4.99,1734048000,-1574249984,6672999936,645000000,0.982,9269000192,N/A,64.021,1.112,0.834,2.071,55.09,37.77,7962984,5690275,N/A,-0.14983428,0.00737,0.72303003,2.27,64.0,43.0,51.49071,2.03333,28,0.10674,0.26279,4.499,5.44,4.46,14529000448
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,United States,USD,NMS,https://www.dexcom.com,76.27,29790679040,29889609728,46.22424,37.71019,N/A,15.052299,7.5343146,5.067,10.089,0.02,0.157,0.21254,0.61684,0.15289,0.17218,N/A,N/A,N/A,N/A,N/A,353224992,821699968,2492300032,6.381,2591200000,N/A,130.935,2.458,2.033,1.173,142.0,62.34,4384063,3897313,N/A,-0.30359763,0.00315,0.96976,1.97,120.0,75.0,95.305,1.6,24,0.06062,0.32061002,35.566,1.65,2.03,3953999872
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,United States,USD,NMS,https://www.ea.com,164.01,43015393280,42671366144,41.31234,19.30397,N/A,5.826081,5.80583,28.151,27.801,0.058,-0.245,0.2551,0.78567004,0.21481001,0.14118,0.76,0.0047,0.19489999,N/A,1732665600,1808375040,2198000128,2563000064,9.772,2219000064,N/A,29.954,1.425,1.283,0.781,164.45,124.92,1806673,1908092,N/A,0.18594742,0.0019,0.98218,3.99,183.0,143.0,161.38417,2.24,24,0.07274,0.13962,22.577,3.97,8.53,7408999936
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,United States,USD,NMS,https://www.ebayinc.com,61.41,29424969728,32383389696,15.4685135,11.792811,N/A,5.461094,2.8662546,11.245,20.259,0.03,-0.477,0.25511,0.72024,0.23098,0.19677,1.08,0.0176,0.26700002,1.64,1732838400,1521624960,1859000064,4890999808,10.211,7858999808,N/A,145.0,1.252,1.088,1.337,67.8,38.98,4845050,2730459,N/A,0.520921,0.0027,0.95955,4.37,72.0,50.0,61.93929,2.61765,28,0.06922,0.35851002,12.365,3.97,5.22,10266000384
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,United States,USD,NYQ,https://www.ecolab.com,245.97,69649350656,75972222976,34.35335,32.80475,N/A,10.485549,4.443453,23.458,55.042,0.178,N/A,0.22575001,0.43179,0.14715,0.13045,2.28,0.0093,0.3198,1.05,1726531200,2079887488,2899699968,1402400000,4.903,7000000000,N/A,103.915,1.299,0.911,1.141,262.61,184.95,912900,774907,N/A,0.31425512,0.00178,0.90652,2.02,310.0,215.0,274.62476,2.2963,21,0.07416,0.25164,21.47,7.16,7.5,15674600448
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,United States,USD,NYQ,https://www.conedison.com,96.45,33411436544,59611455488,18.129698,17.128183,N/A,1.5239614,2.2228353,63.289,43.464,0.057,0.112,0.36964,0.53290004,0.21237,0.12267999,3.32,0.0344,0.6203,3.67,1731456000,-1611000064,3279000064,93000000,0.268,26293000192,N/A,120.07,1.009,0.613,0.353,107.75,85.85,1827295,1185277,N/A,0.0657531,0.00193,0.69753,3.63,116.0,88.0,100.0,3.0,16,0.03222,0.08582,10.729,5.32,5.62,15031000064
EFX,Equifax Inc.,Industrials,Consulting Services,United States,USD,NYQ,https://www.equifax.com,245.29,30773592064,35545190400,55.245495,26.270834,N/A,6.190909,5.5068884,39.621,45.194,0.093,-0.137,0.3038,0.55526,0.17138,0.100659996,1.56,0.0063,0.34669998,0.78,1732233600,751737472,1321799936,468200000,3.777,5471600128,N/A,108.422,0.882,0.79,1.594,309.63,208.25,943341,1586641,N/A,0.18455076,0.00454,0.95697,2.66,380.0,275.0,320.1555,1.72727,20,0.05224,0.11927,20.937,4.44,9.41,5588199936
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,Bermuda,USD,NYQ,https://www.everestglobal.com,373.33,16045200384,13902194688,5.793451,5.5977435,N/A,1.0468332,0.97619325,356.628,384.03,0.128,-0.245,N/A,0.17518999,0.16320999,0.16853,8.0,0.0215,0.117,2.24,1732665600,3494437376,5193999872,5529999872,128.669,3387000064,N/A,22.087,0.424,0.32,0.629,417.92,343.76,391492,234422,N/A,-0.08761889,0.01393,0.96572,1.56,517.0,372.0,431.08334,2.3,12,0.03416,0.20858,N/A,64.44,66.47,16436500480
EIX,Edison International,Utilities,Utilities - Regulated Electric,United States,USD,NYQ,https://www.edison.com,84.08,32551573504,73039593472,24.44186,14.832928,N/A,2.3221388,1.8793125,36.208,44.96,0.106,2.3,0.37203,0.5834,0.21169001,0.07632,3.12,0.0373,0.91230005,4.24,1728259200,-1676499968,4698999808,200000000,0.517,36599001088,N/A,202.126,0.875,0.492,0.935,88.77,63.15,2033088,2405496,N/A,0.2769724,0.0017499999,0.91283,3.04,100.0,73.5,89.79737,2.04762,19,0.0298,0.07411,11.335,3.44,5.7,17321000960
